iter	Passed	Remaining
923	4920	404
924	4925	399
925	4931	394
926	4937	388
927	4942	383
928	4948	378
929	4954	372
930	4960	367
931	4965	362
932	4971	357
933	4977	351
934	4982	346
935	4988	341
936	4993	335
937	4997	330
938	5002	324
939	5007	319
940	5012	314
941	5017	308
942	5023	303
943	5028	298
944	5033	292
945	5038	287
946	5044	282
947	5050	277
948	5055	271
949	5060	266
950	5066	261
951	5071	255
952	5076	250
953	5080	244
954	5085	239
955	5090	234
956	5095	228
957	5100	223
958	5106	218
959	5110	212
960	5114	207
961	5119	202
962	5124	196
963	5128	191
964	5133	186
965	5137	180
966	5142	175
967	5147	170
968	5152	164
969	5157	159
970	5162	154
971	5168	148
972	5172	143
973	5177	138
974	5182	132
975	5186	127
976	5191	122
977	5195	116
978	5200	111
979	5205	106
980	5210	100
981	5215	95
982	5220	90
983	5225	84
984	5229	79
985	5234	74
986	5239	69
987	5244	63
988	5249	58
989	5254	53
990	5258	47
991	5263	42
992	5268	37
993	5272	31
994	5278	26
995	5283	21
996	5288	15
997	5293	10
998	5298	5
999	5304	0
